sim,sourceX,sourceY,targetX,targetY
0.0474,2011-2015,2276,2012-2016,1142
0.0475,2013-2017,142,2014-2018,161
0.0477,2010-2014,161,2011-2015,142
0.0477,2013-2017,254,2014-2018,469
0.0477,2010-2014,710,2011-2015,2276
0.0477,2011-2015,710,2012-2016,2276
0.0477,2011-2015,1142,2012-2016,2276
0.0482,2011-2015,867,2012-2016,1199
0.0482,2010-2014,2276,2011-2015,1142
0.0482,2012-2016,2276,2013-2017,1142
0.0483,2010-2014,2,2011-2015,727
0.0484,2012-2016,710,2013-2017,2276
0.0486,2012-2016,221,2013-2017,1199
0.0487,2010-2014,254,2011-2015,1095
0.0488,2012-2016,254,2013-2017,1460
0.0488,2010-2014,867,2011-2015,1199
0.0488,2012-2016,1460,2013-2017,254
0.0488,2013-2017,2276,2014-2018,710
0.0489,2012-2016,2,2013-2017,727
0.0491,2011-2015,2,2012-2016,727
0.0491,2011-2015,161,2012-2016,142
0.0493,2011-2015,1199,2012-2016,867
0.0498,2010-2014,254,2011-2015,814
0.0498,2013-2017,1460,2014-2018,254
0.0501,2010-2014,2,2011-2015,254
0.0501,2010-2014,142,2011-2015,161
0.0503,2012-2016,142,2013-2017,161
0.0504,2011-2015,142,2012-2016,161
0.0506,2013-2017,254,2014-2018,2
0.0509,2011-2015,221,2012-2016,1199
0.051,2010-2014,1046,2011-2015,710
0.051,2010-2014,1199,2011-2015,867
0.0511,2013-2017,254,2014-2018,353
0.0513,2013-2017,2,2014-2018,142
0.0515,2012-2016,469,2013-2017,254
0.0516,2013-2017,353,2014-2018,921
0.0516,2013-2017,921,2014-2018,353
0.0521,2010-2014,254,2011-2015,1460
0.0521,2010-2014,353,2011-2015,254
0.0522,2011-2015,353,2012-2016,254
0.0524,2011-2015,1199,2012-2016,221
0.0525,2011-2015,254,2012-2016,1460
0.0526,2013-2017,2,2014-2018,254
0.0526,2012-2016,921,2013-2017,353
0.0527,2011-2015,727,2012-2016,710
0.0528,2013-2017,710,2014-2018,1046
0.0528,2010-2014,921,2011-2015,353
0.053,2010-2014,1199,2011-2015,221
0.0531,2013-2017,710,2014-2018,727
0.0533,2011-2015,1046,2012-2016,710
0.0536,2011-2015,2,2012-2016,254
0.0536,2012-2016,353,2013-2017,254
0.0538,2011-2015,469,2012-2016,254
0.0538,2013-2017,469,2014-2018,254
0.0539,2011-2015,254,2012-2016,2
0.0539,2011-2015,921,2012-2016,353
0.054,2012-2016,2,2013-2017,254
0.054,2010-2014,727,2011-2015,710
0.0542,2012-2016,254,2013-2017,2
0.0543,2012-2016,254,2013-2017,469
0.0543,2013-2017,254,2014-2018,710
0.0544,2010-2014,221,2011-2015,1199
0.0544,2012-2016,1046,2013-2017,710
0.0545,2013-2017,142,2014-2018,2
0.0546,2013-2017,710,2014-2018,254
0.0549,2012-2016,142,2013-2017,2
0.0549,2010-2014,254,2011-2015,2
0.0551,2012-2016,254,2013-2017,353
0.0551,2011-2015,353,2012-2016,921
0.0553,2010-2014,353,2011-2015,921
0.0554,2012-2016,353,2013-2017,921
0.0556,2010-2014,469,2011-2015,254
0.0558,2012-2016,727,2013-2017,710
0.0559,2011-2015,254,2012-2016,469
0.0562,2011-2015,2276,2012-2016,727
0.0563,2013-2017,353,2014-2018,254
0.0564,2013-2017,60,2014-2018,1460
0.0564,2010-2014,254,2011-2015,353
0.0566,2010-2014,710,2011-2015,1046
0.0568,2011-2015,254,2012-2016,353
0.0569,2010-2014,1460,2011-2015,60
0.0573,2010-2014,1046,2011-2015,161
0.0573,2013-2017,1046,2014-2018,710
0.0574,2011-2015,1460,2012-2016,60
0.0575,2012-2016,2276,2013-2017,727
0.0576,2013-2017,727,2014-2018,2276
0.0577,2010-2014,710,2011-2015,727
0.058,2012-2016,710,2013-2017,254
0.0581,2012-2016,710,2013-2017,1046
0.0582,2011-2015,727,2012-2016,2276
