sim,sour1986-1989eX,sour1986-1989eY,t1980-1982rgetX,t1980-1982rgetY
1,1994-1995,T1,1996-1997,T1
1,1996-1997,T1,1998-1999,T1
1,1998-1999,T1,2000-2001,T1
1,1994-1995,T2,1996-1997,T2
1,1996-1997,T2,1998-1999,T2
1,1998-1999,T2,2000-2001,T2
1,1994-1995,T3,1996-1997,T3
1,1996-1997,T3,1998-1999,T3
1,1998-1999,T3,2000-2001,T3
1,1994-1995,T4,1996-1997,T4
1,1996-1997,T4,1998-1999,T4
1,1998-1999,T4,2000-2001,T4
1,1994-1995,T6,1996-1997,T6
1,1996-1997,T6,1998-1999,T6
1,1998-1999,T6,2000-2001,T6
1,1994-1995,S1,1996-1997,S1
1,1996-1997,S1,1998-1999,S1
1,1998-1999,S1,2000-2001,S1
1,1994-1995,S2,1996-1997,S2
1,1996-1997,S2,1998-1999,S2
1,1998-1999,S2,2000-2001,S2
1,1994-1995,S3,1996-1997,S3
1,1996-1997,S3,1998-1999,S3
1,1998-1999,S3,2000-2001,S3
1,1994-1995,S4,1996-1997,S4
1,1996-1997,S4,1998-1999,S4
1,1998-1999,S4,2000-2001,S4
1,1994-1995,S5,1996-1997,S5
1,1996-1997,S5,1998-1999,S5
1,1998-1999,S5,2000-2001,S5
1,1994-1995,S7,1996-1997,S7
1,1996-1997,S7,1998-1999,S7
1,1998-1999,S7,2000-2001,S7
1,1994-1995,S8,1996-1997,S8
1,1996-1997,S8,1998-1999,S8
1,1998-1999,S8,2000-2001,S8
1,1994-1995,S9,1996-1997,S9
1,1996-1997,S9,1998-1999,S9
1,1998-1999,S9,2000-2001,S9
1,1994-1995,S10,1996-1997,S10
1,1996-1997,S10,1998-1999,S10
1,1998-1999,S10,2000-2001,S10
1,1994-1995,S11,1996-1997,S11
1,1996-1997,S11,1998-1999,S11
1,1998-1999,S11,2000-2001,S11
0.6,1996-1997,S3,1998-1999,T10
0.2,1996-1997,S7,1998-1999,T7
1,1998-1999,T10,2000-2001,T10
1,1998-1999,T7,2000-2001,T7
0.5,1998-1999,S2,2000-2001,T9
0.9,1996-1997,S8,2000-2001,T11
0.1,1998-1999,T7,2000-2001,T7
0.1,1998-1999,T10,2000-2001,T10
