sim,sourceX,sourceY,targetX,targetY
5.025,2004,T-1,2005,S-13
5.037,2006,S-9,2004,T-12
5.061,2005,T-9,2001,S-10
5.105,2003,S-14,2006,T-2
5.16,2006,T-14,2007,S-6
5.167,2003,S-14,2005,T-9
5.171,2006,T-10,2005,S-13
5.232,2006,T-2,2007,S-0
5.248,2001,S-5,2006,T-6
5.284,2006,T-2,2005,S-13
5.318,2003,S-14,2005,T-0
5.339,2001,S-10,2005,T-7
5.34,2005,T-7,2007,S-6
5.363,1991,S-12,2006,T-13
5.363,2006,T-4,2005,S-1
5.389,2006,T-2,2001,S-10
5.441,2003,S-14,2004,T-1
5.445,1991,S-12,2004,T-1
5.49,2006,T-13,2002,S-2
5.495,2003,S-14,2006,T-13
5.6,2006,T-10,2001,S-10
5.619,2005,S-7,2004,T-12
5.627,2004,T-12,2002,S-2
5.655,2006,S-9,2005,T-11
5.657,2006,T-6,2007,S-6
5.687,2006,T-13,2005,S-1
5.689,2006,S-11,2005,T-11
5.728,2005,T-9,2002,S-2
5.733,2003,S-14,2005,T-11
5.737,2003,S-14,2005,T-5
5.807,1991,S-12,2006,T-14
5.81,2005,S-7,2006,T-6
5.863,2005,T-11,2007,S-6
5.884,2005,T-11,2001,S-10
5.892,1991,S-12,2006,T-3
5.918,2005,S-7,2006,T-10
5.933,2005,T-0,2002,S-2
5.983,2004,T-1,2001,S-10
5.986,2006,T-6,2005,S-13
5.988,2006,S-11,2004,T-12
5.996,2005,S-7,2006,T-13
6.012,1991,S-12,2005,T-7
6.025,2006,T-6,2005,S-1
6.033,2004,T-1,2002,S-2
6.07,1991,S-12,2005,T-0
6.076,1991,S-12,2006,T-10
6.079,2005,S-7,2006,T-2
6.143,2006,T-10,2002,S-2
6.169,1991,S-12,2005,T-9
6.177,2005,T-9,2006,S-9
6.201,2005,T-7,2002,S-2
6.224,2006,T-6,2002,S-2
6.252,2005,T-5,2007,S-6
6.301,2005,T-5,2006,S-9
6.394,2006,T-13,2007,S-6
6.514,2005,S-7,2004,T-1
6.52,2005,T-5,2001,S-10
6.541,1991,S-12,2004,T-12
6.571,2006,S-9,2005,T-7
6.572,2006,T-2,2002,S-2
6.607,2004,T-1,2006,S-9
6.762,2005,T-11,2002,S-2
6.778,1991,S-12,2005,T-5
6.825,2005,T-5,2002,S-2
6.834,2007,S-6,2004,T-12
6.839,1991,S-12,2006,T-6
6.842,2006,T-6,2001,S-10
6.895,1991,S-12,2005,T-11
7.163,2006,S-9,2005,T-0
7.289,2001,S-10,2005,T-0
7.894,2006,T-3,2007,S-6
8.376,1991,S-12,2006,T-2
8.7,2004,S-8,2006,T-13
10,2006,T-2,2007,S-6
