sim,sourceX,sourceY,targetX,targetY
6.926,1991,S-12,2006,T-10
6.269,1991,S-12,2006,T-13
6.617,1991,S-12,2006,T-14
9.112,1991,S-12,2006,T-2
6.547,1991,S-12,2006,T-3
7.616,1991,S-12,2006,T-6
6.805,1991,S-12,2005,T-0
7.685,1991,S-12,2005,T-11
7.56,1991,S-12,2005,T-5
6.717,1991,S-12,2005,T-7
7.106,1991,S-12,2005,T-9
6.351,1991,S-12,2004,T-1
7.411,1991,S-12,2004,T-12
8.195,2001,S-10,2005,T-0
6.344,2001,S-10,2005,T-7
6.032,2001,S-10,2004,T-12
6.254,2003,S-14,2006,T-13
6.857,2005,T-11,2007,S-6
7.42,2005,T-5,2007,S-6
6.412,2005,T-7,2007,S-6
8.078,2004,T-1,2006,S-9
6.148,2003,S-14,2005,T-0
6.576,2003,S-14,2005,T-11
9.635,2004,S-8,2006,T-13
6.523,2003,S-14,2005,T-5
6.095,2003,S-14,2005,T-9
6.025,2006,T-2,2007,S-0
6.242,2004,T-1,2005,S-13
7.414,2006,T-13,2007,S-6
6.284,2006,T-14,2007,S-6
11.227,2006,T-2,2007,S-6
9.106,2006,T-3,2007,S-6
6.751,2006,T-6,2007,S-6
7.462,2005,T-5,2006,S-9
7.379,2005,T-9,2006,S-9
6.433,2003,S-14,2004,T-1
7.012,2005,S-7,2006,T-10
6.753,2005,S-7,2006,T-13
7.213,2005,S-7,2006,T-2
6.97,2005,S-7,2006,T-6
6.696,2006,T-13,2005,S-1
6.457,2006,T-4,2005,S-1
7.229,2006,T-6,2005,S-1
6.511,2006,T-10,2005,S-13
6.697,2006,T-2,2005,S-13
6.084,2006,T-4,2005,S-13
7.322,2006,T-6,2005,S-13
8.323,2006,S-9,2005,T-0
7.947,2005,S-7,2004,T-1
6.761,2006,S-11,2005,T-11
6.854,2006,S-9,2005,T-11
6.661,2005,S-7,2004,T-12
7.857,2006,S-9,2005,T-7
7.174,2004,T-1,2002,S-2
6.568,2004,T-12,2002,S-2
6.031,2007,S-6,2005,T-0
7.066,2006,S-11,2004,T-12
6.277,2006,S-9,2004,T-12
7.086,2004,T-1,2001,S-10
6.809,2005,T-0,2002,S-2
7.588,2005,T-11,2002,S-2
7.646,2005,T-5,2002,S-2
7.272,2005,T-7,2002,S-2
6.658,2005,T-9,2002,S-2
7.969,2007,S-6,2004,T-12
6.94,2005,T-11,2001,S-10
7.506,2005,T-5,2001,S-10
6.026,2005,T-9,2001,S-10
7.101,2006,T-10,2002,S-2
6.323,2006,T-13,2002,S-2
7.683,2006,T-2,2002,S-2
7.217,2006,T-6,2002,S-2
6.455,2006,T-10,2001,S-10
6.359,2006,T-2,2001,S-10
7.89,2006,T-6,2001,S-10
