sim,sourceX,sourceY,targetX,targetY
6.076,1991,S-12,2006,T-10
8.376,1991,S-12,2006,T-2
6.839,1991,S-12,2006,T-6
6.07,1991,S-12,2005,T-0
6.895,1991,S-12,2005,T-11
6.778,1991,S-12,2005,T-5
6.012,1991,S-12,2005,T-7
6.169,1991,S-12,2005,T-9
6.541,1991,S-12,2004,T-12
7.289,2001,S-10,2005,T-0
6.252,2005,T-5,2007,S-6
6.607,2004,T-1,2006,S-9
8.7,2004,S-8,2006,T-13
6.394,2006,T-13,2007,S-6
10,2006,T-2,2007,S-6
7.894,2006,T-3,2007,S-6
6.301,2005,T-5,2006,S-9
6.177,2005,T-9,2006,S-9
6.079,2005,S-7,2006,T-2
6.025,2006,T-6,2005,S-1
7.163,2006,S-9,2005,T-0
6.514,2005,S-7,2004,T-1
6.571,2006,S-9,2005,T-7
6.033,2004,T-1,2002,S-2
6.762,2005,T-11,2002,S-2
6.825,2005,T-5,2002,S-2
6.834,2007,S-6,2004,T-12
6.52,2005,T-5,2001,S-10
6.143,2006,T-10,2002,S-2
6.572,2006,T-2,2002,S-2
6.224,2006,T-6,2002,S-2
6.201,2006,T-7,2002,S-2
6.842,2006,T-6,2001,S-10
