sim,sourceX,sourceY,targetX,targetY
0.35,1981-1982,专利分析 专利文献,1983-1984,科技情报系统 分布型
0.3,1987-1988,读者服务 文献索引,1989-1990,情报检索 图书馆馆员
0.3,1985-1986,国外情报服务 检索系统,1987-1988,情报检索 查全、准率
0.3,1985-1986,科技期刊 国外期刊,1987-1988,国外情报服务 检索系统
0.3,1983-1984,科技期刊 国外期刊,1985-1986,科技情报系统 分布型
0.3,1981-1982,科技期刊 国外期刊,1983-1984,情报机构 情报工作
0.3,1987-1988,科技期刊 国外期刊,1989-1990,情报技术 计算机系统
0.3,1987-1988,科技期刊 国外期刊,1989-1990,情报检索 查全、准率
0.3,1981-1982,科技期刊 国外期刊,1983-1984,情报科学 理论体系
0.3,1985-1986,科技期刊 国外期刊,1987-1988,情报科学 理论体系
0.3,1981-1982,科技期刊 国外期刊,1983-1984,专利分析 专利文献
0.3,1983-1984,科技情报系统 分布型,1985-1986,科技期刊 国外期刊
0.3,1985-1986,科技情报系统 分布型,1987-1988,科技期刊 国外期刊
0.3,1983-1984,情报服务 信息产业,1985-1986,读者服务 文献索引
0.3,1942-1980,情报服务 信息产业,1981-1982,科技期刊 国外期刊
0.3,1987-1988,情报服务 信息产业,1989-1990,情报改革 连续出版物
0.3,1989-1990,情报服务 信息产业,1991-1992,情报检索 查全、准率
0.3,1981-1982,情报服务 信息产业,1983-1984,情报科学 理论体系
0.3,1983-1984,情报服务 信息产业,1985-1986,数据库 情报检索系统
0.3,1989-1990,情报机构 情报工作,1991-1992,国外情报服务 检索系统
0.3,1987-1988,情报机构 情报工作,1989-1990,情报服务 信息产业
0.3,1981-1982,情报机构 情报工作,1983-1984,情报检索 查全、准率
0.3,1942-1980,情报技术 计算机系统,1981-1982,情报服务 信息产业
0.3,1983-1984,情报技术 计算机系统,1985-1986,情报服务 信息产业
0.3,1983-1984,情报技术 计算机系统,1985-1986,情报技术 计算机系统
0.3,1983-1984,情报技术 计算机系统,1985-1986,情报检索 查全、准率
0.3,1983-1984,情报技术 计算机系统,1985-1986,情报检索 图书馆馆员
0.3,1942-1980,情报技术 计算机系统,1981-1982,情报科学 理论体系
0.3,1981-1982,情报检索 查全、准率,1983-1984,数据库 情报检索系统
0.3,1985-1986,情报检索 图书馆馆员,1987-1988,读者服务 文献索引
0.3,1987-1988,情报检索 图书馆馆员,1989-1990,读者服务 文献索引
0.3,1983-1984,情报检索 图书馆馆员,1985-1986,国外情报服务 检索系统
0.3,1987-1988,情报检索 图书馆馆员,1989-1990,国外情报服务 检索系统
0.3,1981-1982,情报检索 图书馆馆员,1983-1984,科技期刊 国外期刊
0.3,1942-1980,情报检索 图书馆馆员,1981-1982,情报服务 信息产业
0.3,1983-1984,情报检索 图书馆馆员,1985-1986,情报检索 查全、准率
0.3,1981-1982,情报检索 图书馆馆员,1983-1984,情报科学 理论体系
0.3,1942-1980,情报检索 图书馆馆员,1981-1982,数据库 情报检索系统
0.3,1981-1982,情报检索 图书馆馆员,1983-1984,文献计量 引文分析
0.3,1981-1982,情报科学 理论体系,1983-1984,科技期刊 国外期刊
0.3,1981-1982,情报科学 理论体系,1983-1984,情报服务 信息产业
0.3,1983-1984,情报科学 理论体系,1985-1986,情报服务 信息产业
0.3,1987-1988,情报科学 理论体系,1989-1990,情报服务 信息产业
0.3,1985-1986,情报科学 理论体系,1987-1988,情报机构 情报工作
0.3,1989-1990,情报科学 理论体系,1991-1992,情报检索 查全、准率
0.3,1981-1982,情报科学 理论体系,1983-1984,情报检索 图书馆馆员
0.3,1981-1982,情报科学 理论体系,1983-1984,数据库 情报检索系统
0.3,1985-1986,数据库 情报检索系统,1987-1988,读者服务 文献索引
