sim,sour1986-1989eX,sour1986-1989eY,t1980-1982rgetX,t1980-1982rgetY
1,1980-1982,S2,1983-1985,S2
1,1983-1985,S2,1986-1989,S2
1,1986-1989,S2,1990-1993,S2
1,1980-1982,S4,1983-1985,S4
1,1983-1985,S4,1986-1989,S4
1,1986-1989,S4,1990-1993,S4
1,1980-1982,S5,1983-1985,S5
1,1983-1985,S5,1986-1989,S5
1,1986-1989,S5,1990-1993,S5
1,1980-1982,S7,1983-1985,S7
1,1983-1985,S7,1986-1989,S7
1,1986-1989,S7,1990-1993,S7
1,1980-1982,S8,1983-1985,S8
1,1983-1985,S8,1986-1989,S8
1,1986-1989,S8,1990-1993,S8
1,1980-1982,T1,1983-1985,T1
1,1983-1985,T1,1986-1989,T1
1,1986-1989,T1,1990-1993,T1
1,1980-1982,T2,1983-1985,T2
1,1983-1985,T2,1986-1989,T2
1,1986-1989,T2,1990-1993,T2
1,1980-1982,T3,1983-1985,T3
1,1983-1985,T3,1986-1989,T3
1,1986-1989,T3,1990-1993,T3
1,1980-1982,T4,1983-1985,T4
1,1983-1985,T4,1986-1989,T4
1,1986-1989,T4,1990-1993,T4
1,1980-1982,T5,1983-1985,T5
1,1983-1985,T5,1986-1989,T5
1,1986-1989,T5,1990-1993,T5
1,1980-1982,T6,1983-1985,T6
1,1983-1985,T6,1986-1989,T6
1,1986-1989,T6,1990-1993,T6
1,1980-1982,T7,1983-1985,T7
1,1983-1985,T7,1986-1989,T7
1,1986-1989,T7,1990-1993,T7
0.5,1986-1989,T6,1990-1993,S1
0.8,1986-1989,T7,1990-1993,S3
0.3,1986-1989,T3,1990-1993,S9
0.7,1983-1985,T2,1986-1989,S6
0.7,1986-1989,S6,1990-1993,S6
